"np","dist","gamma","dir.hor","dir.ver","id"
589852,5509.1665634105,0.00816642,90,0,"var1"
655388,5509.15907588448,5.51249999999995e-05,90,0,"var1"
720924,5509.10570994969,0.015824205,90,0,"var1"
786460,5509.09985600191,0.00307328,90,0,"var1"
851996,5509.0886926424,0.004023045,90,0,"var1"
917532,5509.07825533458,0.013994645,90,0,"var1"
983068,5509.03382848574,0.02234498,90,0,"var1"
1048604,5509.00964088831,0.01992008,90,0,"var1"
1114140,5509.00905094558,0.02723778,90,0,"var1"
1179676,3860.82635560066,0.00472392,90,0,"var1"
1245212,2493.50214607893,0.01229312,90,0,"var1"
1310748,37.25,9.67999999999982e-06,90,0,"var1"
1376284,35.5,0.022197245,90,0,"var1"
1441820,34.25,0.005756645,90,0,"var1"
1507356,33.25,0.010731125,90,0,"var1"
1572892,32.25,0.00089888,90,0,"var1"
1638428,29.25,7.08050000000003e-05,90,0,"var1"
1703964,12,0.00239432,90,0,"var1"
1769500,9,0.010731125,90,0,"var1"
1900574,0.449999999999996,0.001770125,90,0,"var1"
1900575,1.3,0.003018645,90,0,"var1"
1966111,0.850000000000001,0.00016562,90,0,"var1"
1900576,2.3,0.00609408,90,0,"var1"
1966112,1.85,0.001295405,90,0,"var1"
2031648,1,0.000534645,90,0,"var1"
1900577,3.3,0.000647999999999999,90,0,"var1"
1966113,2.85,0.000276125,90,0,"var1"
2031649,2,0.000869445000000001,90,0,"var1"
2097185,1,0.00276768,90,0,"var1"
1900578,4.3,0.00017672,90,0,"var1"
1966114,3.85,0.003065445,90,0,"var1"
2031650,3,0.004656125,90,0,"var1"
2097186,2,0.00834632,90,0,"var1"
2162722,1,0.00150152,90,0,"var1"
1900579,5.3,0.00040328,90,0,"var1"
1966115,4.85,0.003863205,90,0,"var1"
2031651,4,0.005628605,90,0,"var1"
2097187,3,0.00963272,90,0,"var1"
2162723,2,0.00207368,90,0,"var1"
2228259,1,4.608e-05,90,0,"var1"
1900580,6.3,0.000647999999999999,90,0,"var1"
1966116,5.85,0.000276125,90,0,"var1"
2031652,5,0.000869445000000001,90,0,"var1"
2097188,4,0.00276768,90,0,"var1"
2162724,3,0,90,0,"var1"
2228260,2,0.00150152,90,0,"var1"
2293796,1,0.00207368,90,0,"var1"
1900581,7.3,0,90,0,"var1"
1966117,6.85,0.001770125,90,0,"var1"
2031653,6,0.003018645,90,0,"var1"
2097189,5,0.00609408,90,0,"var1"
2162725,4,0.000647999999999999,90,0,"var1"
2228261,3,0.00017672,90,0,"var1"
2293797,2,0.00040328,90,0,"var1"
2359333,1,0.000647999999999999,90,0,"var1"
1900582,8.3,0.000647999999999999,90,0,"var1"
1966118,7.85,0.000276125,90,0,"var1"
2031654,7,0.000869445000000001,90,0,"var1"
2097190,6,0.00276768,90,0,"var1"
2162726,5,0,90,0,"var1"
2228262,4,0.00150152,90,0,"var1"
2293798,3,0.00207368,90,0,"var1"
2359334,2,0,90,0,"var1"
2424870,1,0.000647999999999999,90,0,"var1"
1900583,9.09999999999999,0.00036992,90,0,"var1"
1966119,8.65,0.000521645,90,0,"var1"
2031655,7.8,0.001275125,90,0,"var1"
2097191,6.8,0.00346112,90,0,"var1"
2162727,5.8,3.87199999999998e-05,90,0,"var1"
2228263,4.8,0.001058,90,0,"var1"
2293799,3.8,0.00154568,90,0,"var1"
2359335,2.8,3.87199999999998e-05,90,0,"var1"
2424871,1.8,0.00036992,90,0,"var1"
2490407,0.799999999999997,3.87199999999998e-05,90,0,"var1"
1900584,10.6,0.00729632,90,0,"var1"
1966120,10.15,0.001878845,90,0,"var1"
2031656,9.3,0.000928805000000001,90,0,"var1"
2097192,8.3,5.40800000000002e-05,90,0,"var1"
2162728,7.3,0.00359552,90,0,"var1"
2228264,6.3,0.00974408,90,0,"var1"
2293800,5.3,0.01113032,90,0,"var1"
2359336,4.3,0.00359552,90,0,"var1"
2424872,3.3,0.00729632,90,0,"var1"
2490408,2.3,0.00359552,90,0,"var1"
2555944,1.5,0.00438048,90,0,"var1"
1900585,11.3,0.000356445,90,0,"var1"
1966121,10.85,0.00053792,90,0,"var1"
2031657,10,0.0013005,90,0,"var1"
2097193,9,0.003502845,90,0,"var1"
2162729,8,4.32449999999998e-05,90,0,"var1"
2228265,7,0.001035125,90,0,"var1"
2293801,6,0.001518005,90,0,"var1"
2359337,5,4.32449999999998e-05,90,0,"var1"
2424873,4,0.000356445,90,0,"var1"
2490409,3,4.32449999999998e-05,90,0,"var1"
2555945,2.2,1.25e-07,90,0,"var1"
2621481,0.700000000000003,0.004427405,90,0,"var1"
1900586,12.3,0.00133128,90,0,"var1"
1966122,11.85,3.12050000000001e-05,90,0,"var1"
2031658,11,0.000340605,90,0,"var1"
2097194,10,0.00172872,90,0,"var1"
2162730,9,0.00012168,90,0,"var1"
2228266,8,0.00247808,90,0,"var1"
2293802,7,0.0032,90,0,"var1"
2359338,6,0.00012168,90,0,"var1"
2424874,5,0.00133128,90,0,"var1"
2490410,4,0.00012168,90,0,"var1"
2555946,3.2,0.000297679999999999,90,0,"var1"
2621482,1.7,0.00239432,90,0,"var1"
2687018,1,0.000310004999999999,90,0,"var1"
1900587,13.3,0.002429045,90,0,"var1"
1966123,12.85,5.20199999999999e-05,90,0,"var1"
2031659,12,3.20000000000001e-05,90,0,"var1"
2097195,11,0.000828245000000001,90,0,"var1"
2162731,10,0.000567845,90,0,"var1"
2228267,9,0.003916125,90,0,"var1"
2293803,8,0.004811805,90,0,"var1"
2359339,7,0.000567845,90,0,"var1"
2424875,6,0.002429045,90,0,"var1"
2490411,5,0.000567845,90,0,"var1"
2555947,4.2,0.000903124999999999,90,0,"var1"
2621483,2.7,0.001305605,90,0,"var1"
2687019,2,0.000924499999999999,90,0,"var1"
2752555,1,0.000163805,90,0,"var1"
1900588,14.3,0.00036992,90,0,"var1"
1966124,13.85,0.000521645,90,0,"var1"
2031660,13,0.001275125,90,0,"var1"
2097196,12,0.00346112,90,0,"var1"
2162732,11,3.87199999999998e-05,90,0,"var1"
2228268,10,0.001058,90,0,"var1"
2293804,9,0.00154568,90,0,"var1"
2359340,8,3.87199999999998e-05,90,0,"var1"
2424876,7,0.00036992,90,0,"var1"
2490412,6,3.87199999999998e-05,90,0,"var1"
2555948,5.2,0,90,0,"var1"
2621484,3.7,0.00438048,90,0,"var1"
2687020,3,1.25e-07,90,0,"var1"
2752556,2,0.000297679999999999,90,0,"var1"
2818092,1,0.000903124999999999,90,0,"var1"
1900589,16.3,4.90050000000002e-05,90,0,"var1"
1966125,15.85,0.00240818,90,0,"var1"
2031661,15,0.00383688,90,0,"var1"
2097197,14,0.007236045,90,0,"var1"
2162733,13,0.001053405,90,0,"var1"
2228269,12,3.96049999999999e-05,90,0,"var1"
2293805,11,0.000171125,90,0,"var1"
2359341,10,0.001053405,90,0,"var1"
2424877,9,4.90050000000002e-05,90,0,"var1"
2490413,8,0.001053405,90,0,"var1"
2555949,7.2,0.000688205000000001,90,0,"var1"
2621485,5.7,0.008541245,90,0,"var1"
2687021,5,0.000669780000000001,90,0,"var1"
2752557,4,0.001891125,90,0,"var1"
2818093,3,0.00316808,90,0,"var1"
2883629,2,0.000688205000000001,90,0,"var1"
1900590,17.3,0.000647999999999999,90,0,"var1"
1966126,16.85,0.000276125,90,0,"var1"
2031662,16,0.000869445000000001,90,0,"var1"
2097198,15,0.00276768,90,0,"var1"
2162734,14,0,90,0,"var1"
2228270,13,0.00150152,90,0,"var1"
2293806,12,0.00207368,90,0,"var1"
2359342,11,0,90,0,"var1"
2424878,10,0.000647999999999999,90,0,"var1"
2490414,9,0,90,0,"var1"
2555950,8.2,3.87199999999998e-05,90,0,"var1"
2621486,6.7,0.00359552,90,0,"var1"
2687022,6,4.32449999999998e-05,90,0,"var1"
2752558,5,0.00012168,90,0,"var1"
2818094,4,0.000567845,90,0,"var1"
2883630,3,3.87199999999998e-05,90,0,"var1"
2949166,1,0.001053405,90,0,"var1"
1900591,18.3,0.00017672,90,0,"var1"
1966127,17.85,0.003065445,90,0,"var1"
2031663,17,0.004656125,90,0,"var1"
2097199,16,0.00834632,90,0,"var1"
2162735,15,0.00150152,90,0,"var1"
2228271,14,0,90,0,"var1"
2293807,13,4.608e-05,90,0,"var1"
2359343,12,0.00150152,90,0,"var1"
2424879,11,0.00017672,90,0,"var1"
2490415,10,0.00150152,90,0,"var1"
2555951,9.2,0.001058,90,0,"var1"
2621487,7.7,0.00974408,90,0,"var1"
2687023,7,0.001035125,90,0,"var1"
2752559,6,0.00247808,90,0,"var1"
2818095,5,0.003916125,90,0,"var1"
2883631,4,0.001058,90,0,"var1"
2949167,2,3.96049999999999e-05,90,0,"var1"
3014703,1,0.00150152,90,0,"var1"
1900592,19.3,0.00036992,90,0,"var1"
1966128,18.85,0.000521645,90,0,"var1"
2031664,18,0.001275125,90,0,"var1"
2097200,17,0.00346112,90,0,"var1"
2162736,16,3.87199999999998e-05,90,0,"var1"
2228272,15,0.001058,90,0,"var1"
2293808,14,0.00154568,90,0,"var1"
2359344,13,3.87199999999998e-05,90,0,"var1"
2424880,12,0.00036992,90,0,"var1"
2490416,11,3.87199999999998e-05,90,0,"var1"
2555952,10.2,0,90,0,"var1"
2621488,8.7,0.00438048,90,0,"var1"
2687024,8,1.25e-07,90,0,"var1"
2752560,7,0.000297679999999999,90,0,"var1"
2818096,6,0.000903124999999999,90,0,"var1"
2883632,5,0,90,0,"var1"
2949168,3,0.000688205000000001,90,0,"var1"
3014704,2,3.87199999999998e-05,90,0,"var1"
3080240,1,0.001058,90,0,"var1"
1900593,18.98,0.000647999999999999,90,0,"var1"
1966129,18.53,0.000276125,90,0,"var1"
2031665,17.68,0.000869445000000001,90,0,"var1"
2097201,16.68,0.00276768,90,0,"var1"
2162737,15.68,0,90,0,"var1"
2228273,14.68,0.00150152,90,0,"var1"
2293809,13.68,0.00207368,90,0,"var1"
2359345,12.68,0,90,0,"var1"
2424881,11.68,0.000647999999999999,90,0,"var1"
2490417,10.68,0,90,0,"var1"
2555953,9.88000000000001,3.87199999999998e-05,90,0,"var1"
2621489,8.38000000000001,0.00359552,90,0,"var1"
2687025,7.68000000000001,4.32449999999998e-05,90,0,"var1"
2752561,6.68000000000001,0.00012168,90,0,"var1"
2818097,5.68000000000001,0.000567845,90,0,"var1"
2883633,4.68000000000001,3.87199999999998e-05,90,0,"var1"
2949169,2.68000000000001,0.001053405,90,0,"var1"
3014705,1.68000000000001,0,90,0,"var1"
3080241,0.680000000000007,0.00150152,90,0,"var1"
3145777,0.319999999999993,3.87199999999998e-05,90,0,"var1"
1900594,19.48,0.00484128,90,0,"var1"
1966130,19.03,0.000756605,90,0,"var1"
2031666,18.18,0.000214245,90,0,"var1"
2097202,17.18,7.20000000000001e-05,90,0,"var1"
2162738,16.18,0.00194688,90,0,"var1"
2228274,15.18,0.00686792,90,0,"var1"
2293810,14.18,0.00803912,90,0,"var1"
2359346,13.18,0.00194688,90,0,"var1"
2424882,12.18,0.00484128,90,0,"var1"
2490418,11.18,0.00194688,90,0,"var1"
2555954,10.38,0.00253472,90,0,"var1"
